Order ID,Customer Name,Customer Id,Age,Gender,Category,Sub Category,Region,State,City,Order Date,Time,Payment Method,Sales,Quantity,Discount,Profit,Rating
OD1,Harish,13,53,Male,Oil & Masala,Masalas,North,Tamil Nadu,Vellore,2017-11-08,13:03:25,Cash,1254,7,0.12,401.28,8.0
OD2,Sudha,38,31,Female,Beverages,Health Drinks,South,Tamil Nadu,Krishnagiri,2017-11-08,12:09:46,Cash,749,14,0.18,149.8,1.0
OD3,Hussain,15,18,Male,Food Grains,Atta & Flour,West,Tamil Nadu,Perambalur,2017-06-12,14:14:10,Credit card,2360,22,0.21,165.2,1.0
OD4,Jackson,16,69,Male,Fruits & Veggies,Fresh Vegetables,South,Tamil Nadu,Dharmapuri,2016-10-11,09:22:01,Cash,896,13,0.25,89.6,8.0
OD5,Ridhesh,29,12,Male,Food Grains,Organic Staples,South,Tamil Nadu,Ooty,2016-10-11,17:01:25,Ewallet,2355,8,0.26,918.45,9.0
OD6,Adavan,1,31,Male,Food Grains,Organic Staples,West,Tamil Nadu,Dharmapuri,2015-06-09,15:36:59,Ewallet,2305,51,0.26,322.7,7.0
OD7,Jonas,18,37,Male,Fruits & Veggies,Fresh Vegetables,West,Tamil Nadu,Trichy,2015-06-09,18:10:07,Cash,826,1,0.33,346.92,5.0
OD8,Hafiz,12,48,Male,Fruits & Veggies,Fresh Fruits,West,Tamil Nadu,Ramanadhapuram,2015-06-09,15:24:12,Ewallet,1847,21,0.32,147.76,10.0
OD9,Hafiz,12,48,Male,Bakery,Biscuits,West,Tamil Nadu,Tirunelveli,2015-06-09,08:14:57,Ewallet,791,26,0.23,181.93,3.0
OD10,Krithika,20,52,Female,Bakery,Cakes,West,Tamil Nadu,Chennai,2015-06-09,15:44:15,Cash,1795,9,0.27,484.65,5.0
OD11,Ganesh,11,44,Male,Snacks,Chocolates,West,Tamil Nadu,Karur,2015-06-09,10:51:40,Cash,1903,8,0.13,437.69,1.0
OD12,Yadav,49,53,Male,"Eggs, Meat & Fish",Eggs,West,Tamil Nadu,Namakkal,2015-06-09,12:55:51,Ewallet,701,24,0.1,308.44,3.0
OD13,Sharon,34,66,Female,Snacks,Cookies,South,Tamil Nadu,Dindigul,2018-04-15,12:37:36,Cash,1659,23,0.19,315.21,3.0
OD14,Peer,25,51,Female,Fruits & Veggies,Fresh Vegetables,West,Tamil Nadu,Kanyakumari,2017-12-05,08:31:10,Cash,1277,9,0.25,63.85,3.0
OD15,Sundar,39,42,Male,"Eggs, Meat & Fish",Chicken,Central,Tamil Nadu,Kanyakumari,2016-11-22,13:34:41,Ewallet,831,11,0.22,207.75,10.0
OD16,Ramesh,27,39,Male,Oil & Masala,Edible Oil & Ghee,Central,Tamil Nadu,Krishnagiri,2016-11-22,09:51:34,Cash,1440,9,0.11,100.8,9.0
OD17,Alan,4,22,Male,Bakery,Cakes,Central,Tamil Nadu,Dharmapuri,2015-11-11,17:24:08,Ewallet,1678,5,0.28,318.82,1.0
OD18,Arutra,8,34,Female,Beverages,Health Drinks,West,Tamil Nadu,Bodi,2015-05-13,08:55:29,Cash,1617,59,0.19,113.19,9.0
OD19,Haseena,14,27,Female,"Eggs, Meat & Fish",Mutton,West,Tamil Nadu,Tenkasi,2015-08-27,09:48:52,Cash,1757,28,0.35,386.54,7.0
OD20,Verma,43,49,Female,Beverages,Soft Drinks,West,Tamil Nadu,Kanyakumari,2015-08-27,11:29:53,Ewallet,692,24,0.29,159.16,1.0
OD21,Hafiz,12,48,Male,Beverages,Health Drinks,West,Tamil Nadu,Vellore,2015-08-27,08:28:18,Cash,522,5,0.19,208.8,10.0
OD22,Alan,4,22,Male,Food Grains,Dals & Pulses,Central,Tamil Nadu,Karur,2017-12-09,17:15:54,Cash,948,7,0.13,47.4,9.0
OD23,Haseena,14,27,Female,Beverages,Soft Drinks,Central,Tamil Nadu,Krishnagiri,2017-12-09,15:53:26,Cash,707,41,0.34,148.47,9.0
OD24,Alan,4,22,Male,Fruits & Veggies,Organic Vegetables,East,Tamil Nadu,Tenkasi,2018-07-16,12:00:16,Ewallet,969,6,0.29,77.52,9.0
OD25,Sharon,34,66,Female,"Eggs, Meat & Fish",Eggs,West,Tamil Nadu,Ooty,2016-09-25,12:18:01,Cash,1100,12,0.11,495.0,1.0
OD26,Krithika,20,52,Female,Snacks,Chocolates,West,Tamil Nadu,Tirunelveli,2017-01-16,18:17:38,Cash,2022,15,0.11,202.2,8.0
OD27,Muneer,24,33,Male,Snacks,Cookies,West,Tamil Nadu,Trichy,2017-01-16,09:16:30,Cash,541,6,0.12,43.28,7.0
OD28,Jackson,16,69,Male,Bakery,Biscuits,East,Tamil Nadu,Viluppuram,2016-09-17,11:01:32,Cash,979,25,0.22,401.39,7.0
OD29,Veronica,44,26,Female,Beverages,Soft Drinks,East,Tamil Nadu,Krishnagiri,2016-09-17,08:33:10,Cash,1988,22,0.22,874.72,10.0
OD30,Shah,33,26,Male,Oil & Masala,Masalas,East,Tamil Nadu,Kanyakumari,2016-09-17,13:36:48,Credit card,989,18,0.17,69.23,4.0
OD31,Ramesh,27,39,Male,Beverages,Soft Drinks,East,Tamil Nadu,Dharmapuri,2016-09-17,10:38:33,Cash,1845,23,0.24,166.05,7.0
OD32,Mathew,23,37,Male,Snacks,Noodles,East,Tamil Nadu,Vellore,2016-09-17,11:31:56,Ewallet,1400,16,0.11,420.0,8.0
OD33,Akash,3,36,Male,Oil & Masala,Edible Oil & Ghee,East,Tamil Nadu,Trichy,2016-09-17,08:36:45,Cash,2163,28,0.26,670.53,10.0
OD34,Anu,7,27,Female,Oil & Masala,Masalas,East,Tamil Nadu,Madurai,2016-09-17,16:18:02,Ewallet,1689,51,0.34,337.8,2.0
OD35,Anu,7,27,Female,Beverages,Health Drinks,Central,Tamil Nadu,Vellore,2018-10-19,12:09:36,Cash,809,31,0.32,80.9,2.0
OD36,Sabeela,32,56,Female,"Eggs, Meat & Fish",Eggs,Central,Tamil Nadu,Tirunelveli,2017-12-08,08:49:11,Cash,1265,27,0.22,569.25,9.0
OD37,James,17,33,Male,Beverages,Soft Drinks,Central,Tamil Nadu,Salem,2017-12-08,08:15:54,Ewallet,934,20,0.35,56.04,6.0
OD38,Willams,48,24,Male,Fruits & Veggies,Organic Vegetables,Central,Tamil Nadu,Ramanadhapuram,2016-12-27,19:30:21,Credit card,1354,5,0.16,446.82,10.0
OD39,Jonas,18,37,Male,Fruits & Veggies,Fresh Fruits,Central,Tamil Nadu,Chennai,2016-12-27,12:24:10,Credit card,1751,9,0.19,280.16,10.0
OD40,Sabeela,32,56,Female,"Eggs, Meat & Fish",Chicken,Central,Tamil Nadu,Cumbum,2016-12-27,09:20:10,Credit card,2045,11,0.23,879.35,10.0
OD41,Malik,22,74,Male,Beverages,Health Drinks,Central,Tamil Nadu,Namakkal,2016-12-27,12:03:56,Cash,660,12,0.19,92.4,9.0
OD42,Arutra,8,34,Female,Beverages,Soft Drinks,Central,Tamil Nadu,Salem,2018-09-10,10:45:42,Cash,1868,25,0.18,616.44,9.0
OD43,Sharon,34,66,Female,Snacks,Cookies,West,Tamil Nadu,Bodi,2017-07-17,10:29:37,Ewallet,1017,64,0.25,345.78,2.0
OD44,Mathew,23,37,Male,Snacks,Cookies,South,Tamil Nadu,Dharmapuri,2018-09-19,19:14:26,Credit card,2311,24,0.2,1039.95,2.0
OD45,Amrish,5,30,Male,Bakery,Biscuits,Central,Tamil Nadu,Krishnagiri,2017-03-11,13:45:33,Ewallet,1663,22,0.17,731.72,9.0
OD46,Vince,46,40,Male,"Eggs, Meat & Fish",Eggs,Central,Tamil Nadu,Madurai,2017-03-11,11:49:48,Credit card,1420,23,0.19,355.0,9.0
OD47,Suresh,40,45,Male,Fruits & Veggies,Organic Vegetables,Central,Tamil Nadu,Nagercoil,2015-10-20,19:26:19,Ewallet,1415,32,0.31,509.4,1.0
OD48,Mathew,23,37,Male,Snacks,Noodles,East,Tamil Nadu,Chennai,2017-06-20,16:20:59,Cash,1488,18,0.3,610.08,9.0
OD49,Ridhesh,29,12,Male,Snacks,Noodles,East,Tamil Nadu,Pudukottai,2017-06-20,12:54:59,Cash,726,20,0.18,43.56,10.0
OD50,Amrish,5,30,Male,Bakery,Cakes,Central,Tamil Nadu,Ooty,2016-04-18,16:17:25,Cash,1259,8,0.15,415.47,1.0
OD51,Esther,10,62,Male,Beverages,Soft Drinks,Central,Tamil Nadu,Salem,2016-04-18,12:24:45,Credit card,902,14,0.29,153.34,1.0
OD52,Shah,33,26,Male,Beverages,Soft Drinks,Central,Tamil Nadu,Salem,2016-04-18,17:24:08,Ewallet,2306,17,0.3,553.44,2.0
OD53,Sudha,38,31,Female,Bakery,Cakes,Central,Tamil Nadu,Theni,2016-04-18,17:58:51,Cash,1417,4,0.19,99.19,8.0
OD54,Yusuf,50,57,Male,Fruits & Veggies,Fresh Vegetables,East,Tamil Nadu,Madurai,2017-12-11,17:51:26,Ewallet,627,20,0.33,181.83,9.0
OD55,Esther,10,62,Male,Fruits & Veggies,Organic Fruits,East,Tamil Nadu,Nagercoil,2017-12-11,18:31:26,Cash,760,16,0.28,60.8,9.0
OD56,Muneer,24,33,Male,Food Grains,Atta & Flour,East,Tamil Nadu,Salem,2017-06-17,17:06:50,Credit card,2350,8,0.15,611.0,10.0
OD57,Komal,19,54,Female,"Eggs, Meat & Fish",Fish,East,Tamil Nadu,Krishnagiri,2017-06-17,13:54:18,Cash,1179,23,0.34,271.17,2.0
OD58,Veena,42,40,Female,Food Grains,Dals & Pulses,East,Tamil Nadu,Trichy,2017-06-17,19:36:14,Cash,1624,23,0.35,194.88,7.0
OD59,Sharon,34,66,Female,"Eggs, Meat & Fish",Mutton,East,Tamil Nadu,Trichy,2017-06-17,08:28:13,Cash,1316,9,0.35,421.12,9.0
OD60,Shree,36,34,Female,Beverages,Health Drinks,East,Tamil Nadu,Coimbatore,2017-06-17,17:57:01,Credit card,2121,55,0.12,678.72,2.0
OD61,Roshan,30,44,Male,Oil & Masala,Masalas,East,Tamil Nadu,Virudhunagar,2017-06-17,09:21:37,Cash,1428,5,0.28,271.32,10.0
OD62,Willams,48,24,Male,Snacks,Noodles,East,Tamil Nadu,Perambalur,2017-06-17,14:32:00,Cash,706,11,0.33,289.46,1.0
OD63,Sudeep,37,71,Male,"Eggs, Meat & Fish",Fish,West,Tamil Nadu,Dharmapuri,2016-11-24,16:01:43,Cash,921,25,0.25,184.2,10.0
OD64,Yusuf,50,57,Male,Fruits & Veggies,Fresh Fruits,West,Tamil Nadu,Trichy,2016-11-24,13:26:13,Cash,1741,16,0.31,661.58,10.0
OD65,Willams,48,24,Male,"Eggs, Meat & Fish",Eggs,West,Tamil Nadu,Madurai,2016-11-24,18:42:20,Cash,607,5,0.22,200.31,3.0
OD66,Muneer,24,33,Male,"Eggs, Meat & Fish",Mutton,West,Tamil Nadu,Tirunelveli,2016-11-24,19:54:06,Ewallet,1824,11,0.25,766.08,4.0
OD67,Vinne,47,48,Female,Food Grains,Atta & Flour,Central,Tamil Nadu,Madurai,2016-04-30,13:26:33,Credit card,1368,19,0.11,383.04,10.0
OD68,Roshan,30,44,Male,Fruits & Veggies,Fresh Vegetables,West,Tamil Nadu,Pudukottai,2015-12-05,14:38:07,Cash,1160,27,0.16,510.4,2.0
OD69,Ramesh,27,39,Male,Food Grains,Atta & Flour,West,Tamil Nadu,Viluppuram,2015-12-05,11:30:28,Ewallet,1294,9,0.23,77.64,8.0
OD70,Peer,25,51,Female,Oil & Masala,Masalas,South,Tamil Nadu,Ooty,2017-06-04,19:25:36,Credit card,1232,6,0.14,554.4,7.0
OD71,Verma,43,49,Female,"Eggs, Meat & Fish",Mutton,East,Tamil Nadu,Kanyakumari,2017-09-18,17:32:41,Cash,994,20,0.31,357.84,9.0
OD72,Yusuf,50,57,Male,Snacks,Noodles,Central,Tamil Nadu,Kanyakumari,2018-09-14,09:21:38,Cash,2468,43,0.18,1011.88,5.0
OD73,Alan,4,22,Male,Snacks,Cookies,South,Tamil Nadu,Theni,2016-04-26,10:55:36,Cash,721,14,0.27,100.94,3.0
OD74,Vidya,45,39,Female,Fruits & Veggies,Organic Vegetables,South,Tamil Nadu,Vellore,2016-04-26,12:16:30,Ewallet,2375,23,0.21,475.0,2.0
OD75,Arvind,9,46,Male,Beverages,Soft Drinks,South,Tamil Nadu,Vellore,2016-04-26,08:28:55,Cash,1965,21,0.13,117.9,1.0
OD76,Veronica,44,26,Female,Beverages,Soft Drinks,Central,Tamil Nadu,Bodi,2018-12-09,08:40:03,Ewallet,1489,7,0.12,193.57,5.0
OD77,Arvind,9,46,Male,Fruits & Veggies,Organic Fruits,Central,Tamil Nadu,Ooty,2018-12-09,10:32:35,Cash,1250,11,0.27,75.0,10.0
OD78,Anu,7,27,Female,Snacks,Noodles,Central,Tamil Nadu,Coimbatore,2018-12-09,17:49:52,Cash,1358,22,0.31,488.88,5.0
OD79,Haseena,14,27,Female,Snacks,Cookies,Central,Tamil Nadu,Vellore,2015-11-26,12:31:33,Cash,719,24,0.2,64.71,3.0
OD80,Veena,42,40,Female,Fruits & Veggies,Organic Fruits,South,Tamil Nadu,Chennai,2017-06-12,10:22:07,Ewallet,2303,8,0.26,621.81,10.0
OD81,Kumar,21,22,Male,Beverages,Health Drinks,South,Tamil Nadu,Kanyakumari,2017-06-12,15:11:15,Cash,2027,23,0.34,912.15,7.0
OD82,Amy,6,17,Female,Food Grains,Atta & Flour,West,Tamil Nadu,Bodi,2015-10-12,10:48:17,Cash,1739,31,0.29,765.16,9.0
OD83,Komal,19,54,Female,Oil & Masala,Spices,West,Tamil Nadu,Cumbum,2015-10-12,18:38:00,Ewallet,990,29,0.26,227.7,4.0
OD84,Ravi,28,28,Male,Beverages,Soft Drinks,South,Tamil Nadu,Dharmapuri,2016-09-03,15:30:10,Cash,2354,13,0.11,682.66,1.0
OD85,Amy,6,17,Female,Fruits & Veggies,Organic Fruits,Central,Tamil Nadu,Bodi,2018-11-13,18:51:59,Cash,1044,19,0.1,344.52,10.0
OD86,Willams,48,24,Male,Oil & Masala,Spices,South,Tamil Nadu,Dindigul,2018-05-28,18:40:37,Cash,2129,8,0.25,659.99,5.0
OD87,Sharon,34,66,Female,Food Grains,Rice,Central,Tamil Nadu,Theni,2018-10-26,08:08:19,Credit card,1759,20,0.1,615.65,1.0
OD88,Ramesh,27,39,Male,"Eggs, Meat & Fish",Eggs,Central,Tamil Nadu,Viluppuram,2018-10-26,14:29:43,Cash,1663,19,0.26,665.2,8.0
OD89,Sheeba,35,78,Female,Bakery,Breads & Buns,Central,Tamil Nadu,Perambalur,2017-04-05,10:10:18,Ewallet,2111,23,0.21,189.99,8.0
OD90,Krithika,20,52,Female,Food Grains,Dals & Pulses,West,Tamil Nadu,Madurai,2017-09-17,18:42:50,Cash,1878,18,0.12,450.72,1.0
OD91,Willams,48,24,Male,"Eggs, Meat & Fish",Chicken,West,Tamil Nadu,Ooty,2017-09-17,09:12:59,Cash,769,23,0.34,46.14,2.0
OD92,Roshan,30,44,Male,Beverages,Health Drinks,West,Tamil Nadu,Virudhunagar,2017-09-17,16:02:29,Credit card,1241,9,0.14,409.53,1.0
OD93,Ravi,28,28,Male,Food Grains,Atta & Flour,Central,Tamil Nadu,Madurai,2016-01-31,17:41:02,Cash,2128,6,0.14,383.04,8.0
OD94,Ram,26,39,Male,Fruits & Veggies,Fresh Fruits,Central,Tamil Nadu,Namakkal,2016-01-31,11:15:03,Ewallet,2257,35,0.33,270.84,1.0
OD95,Mathew,23,37,Male,Snacks,Chocolates,Central,Tamil Nadu,Bodi,2016-01-31,08:02:38,Cash,1285,22,0.28,218.45,7.0
OD96,Veena,42,40,Female,"Eggs, Meat & Fish",Fish,West,Tamil Nadu,Virudhunagar,2018-11-06,11:58:13,Ewallet,1230,23,0.13,442.8,2.0
OD97,Sudha,38,31,Female,Food Grains,Atta & Flour,East,Tamil Nadu,Ooty,2018-11-09,11:19:22,Credit card,1856,8,0.21,723.84,6.0
OD98,Sharon,34,66,Female,Fruits & Veggies,Fresh Fruits,West,Tamil Nadu,Trichy,2018-06-17,18:17:54,Credit card,545,20,0.31,125.35,10.0
OD99,Vince,46,40,Male,Snacks,Chocolates,Central,Tamil Nadu,Dharmapuri,2017-09-06,09:26:42,Credit card,2301,6,0.28,391.17,3.0
OD100,Krithika,20,52,Female,Oil & Masala,Spices,Central,Tamil Nadu,Chennai,2017-08-29,16:01:31,Cash,1475,10,0.26,531.0,1.0
OD101,Adavan,1,31,Male,Bakery,Cakes,Central,Tamil Nadu,Coimbatore,2017-08-29,12:11:59,Ewallet,2118,16,0.35,910.74,7.0
